Month of Observation,Median Home Price (NSA)
2011-04-15,171638.14999999999
2011-05-15,172945.28
2011-06-15,174396.57999999999
2011-07-15,174732.98000000001
2011-08-15,173608.45999999999
2011-09-15,173771.85000000001
2011-10-15,172157.16
2011-11-15,172272.48999999999
2011-12-15,171407.48000000001
2012-01-15,169600.56
2012-02-15,170100.34
2012-03-15,172705
2012-04-15,175078.98999999999
2012-05-15,177904.70000000001
2012-06-15,179759.67999999999
2012-07-15,180115.29000000001
2012-08-15,180518.97
2012-09-15,180307.51999999999
2012-10-15,180297.91
2012-11-15,180538.19
2012-12-15,179961.51000000001
2013-01-15,180124.89999999999
2013-02-15,181383.98000000001
2013-03-15,184680.64999999999
2013-04-15,187121.91
2013-05-15,190514.69
2013-06-15,192946.35000000001
2013-07-15,193945.92000000001
2013-08-15,193465.35000000001
2013-09-15,193446.13
2013-10-15,192936.73000000001
2013-11-15,192360.06
2013-12-15,192062.10999999999
2014-01-15,191687.26999999999
2014-02-15,192667.62
2014-03-15,195003.16
2014-04-15,197146.47
2014-05-15,199433.95999999999
2014-06-15,201702.22
2014-07-15,202394.23000000001
2014-08-15,202009.78
2014-09-15,201154.37
2014-10-15,201144.76000000001
2014-11-15,201385.04999999999
2014-12-15,201365.82000000001
2015-01-15,200471.97
2015-02-15,202288.5
2015-03-15,204960.44
2015-04-15,207103.75
2015-05-15,210140.92000000001
2015-06-15,212130.45000000001
2015-07-15,212928.19
2015-08-15,212245.79000000001
2015-09-15,212111.23000000001
2015-10-15,212168.89999999999
2015-11-15,212447.62
2015-12-15,212130.45000000001
2016-01-15,212005.5
2016-02-15,212687.89999999999
2016-03-15,216349.79999999999
2016-04-15,218848.73000000001
2016-05-15,221559.10999999999
2016-06-15,223760.09
2016-07-15,224702
2016-08-15,224634.72
2016-09-15,224702
2016-10-15,224682.78
2016-11-15,224913.45000000001
2016-12-15,225076.84
2017-01-15,224288.70999999999
2017-02-15,226210.97
2017-03-15,229651.79999999999
2017-04-15,232794.69
2017-05-15,235601.17999999999
2017-06-15,237283.16
2017-07-15,238330.79000000001
2017-08-15,238897.85000000001
2017-09-15,238715.23999999999
2017-10-15,238551.85000000001
2017-11-15,239359.19
2017-12-15,238917.07000000001
2018-01-15,239897.42000000001
2018-02-15,242550.14000000001
2018-03-15,245452.73999999999
2018-04-15,247557.60999999999
2018-05-15,250383.32999999999
2018-06-15,252065.29999999999
2018-07-15,252882.26000000001
2018-08-15,253199.42999999999
2018-09-15,252468.97
2018-10-15,252171.01999999999
2018-11-15,252814.98000000001
2018-12-15,251998.01999999999
2019-01-15,252747.70000000001
2019-02-15,254400.84
2019-03-15,257313.04999999999
2019-04-15,260138.76999999999
2019-05-15,262983.71000000002
2019-06-15,264319.66999999998
2019-07-15,265117.40999999997
2019-08-15,265146.23999999999
2019-09-15,265684.46999999997
2019-10-15,265780.59000000003
2019-11-15,266241.92999999999
2019-12-15,266837.83000000002
2020-01-15,267895.07000000001
2020-02-15,270932.22999999998
2020-03-15,273661.83000000002
2020-04-15,275853.20000000001
2020-05-15,276660.54999999999
2020-06-15,280043.71999999997
2020-07-15,283465.33000000002
2020-08-15,287242.56
2020-09-15,290817.96000000002
2020-10-15,293951.22999999998
2020-11-15,296008.04999999999
2020-12-15,298122.53000000003
2021-01-15,300986.69
2021-02-15,305369.42999999999
2021-03-15,312443.33000000002
2021-04-15,319642.16999999998
2021-05-15,326812.17999999999
2021-06-15,333049.90000000002
2021-07-15,337788.26000000001
2021-08-15,340037.29999999999
2021-09-15,342517.01000000001
2021-10-15,345506.10999999999
2021-11-15,348360.65999999997
2021-12-15,351417.04999999999
2022-01-15,355924.73999999999
2022-02-15,363748.31
2022-03-15,371495
2022-04-15,379597.31
2022-05-15,385883.08000000002
2022-06-15,386882.65000000002
2022-07-15,384326.04999999999
2022-08-15,380702.59999999998
2022-09-15,380692.98999999999
2022-10-15,379328.19
2022-11-15,377290.59999999998
2022-12-15,375089.62
2023-01-15,374772.45000000001
2023-02-15,380097.09000000003
2023-03-15,385565.90999999997
2023-04-15,391553.72999999998
2023-05-15,397022.54999999999
